index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
1,8,4,4,24,0,28,1,15,6,23.899,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 24 24 24 24 
2,8,4,3,10,0,11,1,14,8,17.95,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 10 10 10 10 
3,2,8,5,24,1,3,1,14,2,14.991,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 24 24 24 24 
4,2,4,1,26,0,13,1,1,8,38.907,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
5,2,1,7,27,0,19,0,12,6,26.857,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 27 27 27 27 
6,1,8,4,23,0,27,1,1,4,15.783,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
7,8,2,4,10,0,3,1,9,5,14.555,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 10 10 10 10 
8,8,4,4,12,1,18,0,7,3,17.172,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
9,8,4,2,27,0,3,1,14,1,19.038,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 27 27 27 27 
10,1,1,8,7,0,7,0,5,9,13.642,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 7 7 7 7 
11,8,2,3,20,0,13,1,15,7,16.959,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 20 20 20 20 
12,2,2,1,8,0,20,1,5,1,29.791,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 8 8 8 8 
13,8,8,1,16,0,42,0,13,3,23.7,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
14,2,8,5,26,1,32,0,10,4,21.927,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
15,8,2,6,19,1,28,1,5,8,14.085,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 19 19 19 19 
16,2,8,1,16,1,45,1,14,2,32.539,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 16 16 16 16 
17,1,2,4,10,0,36,1,13,5,29.033,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 10 10 10 10 
18,2,1,4,17,1,25,0,11,7,20.54,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
19,1,8,3,4,1,19,0,13,3,14.174,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
20,1,8,7,2,0,23,0,3,2,13.027,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 2 2 2 2 
21,2,2,2,28,0,36,1,9,8,29.912,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
22,8,8,1,4,1,15,0,12,4,20.102,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
23,4,2,6,23,0,9,1,1,5,15.206,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 23 23 23 23 
