index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
1,8,2,7,27,1,37,1,5,4,36.518,3,0,1,24 8 
2,8,8,7,25,0,20,1,3,8,30.908,3,0,1,24 8 
3,1,1,5,28,1,42,1,1,9,32.737,3,0,1,24 8 
4,4,2,7,2,0,40,1,15,6,37.377,3,0,1,24 8 
5,4,8,7,21,0,7,0,5,3,32.054,3,0,1,24 8 
6,2,8,6,20,1,17,1,1,2,55.08,3,0,1,24 8 
7,4,8,6,19,0,49,1,15,3,32.982,3,0,1,24 8 
8,4,1,2,6,0,33,1,12,7,60.804,3,0,1,24 8 
9,8,2,1,10,1,22,0,4,1,72.936,3,0,1,24 8 
10,2,2,5,26,1,22,0,13,2,47.049,3,0,1,24 8 
11,4,2,5,26,1,31,1,1,5,29.681,3,0,1,24 8 
12,2,2,3,23,1,13,0,1,1,38.765,3,0,1,24 8 
13,2,1,8,17,0,17,0,10,4,44.78,3,0,1,24 8 
14,4,4,2,23,0,4,0,7,5,73.125,3,0,1,24 8 
15,1,8,1,14,0,34,0,9,1,91.116,3,0,1,24 8 
16,8,8,3,4,1,8,1,3,7,68.019,3,0,1,24 8 
17,2,1,4,9,0,19,0,9,8,46.824,3,0,1,24 8 
18,1,1,7,26,1,18,1,5,2,47.037,3,0,1,24 8 
19,4,1,3,2,1,5,1,5,6,48.865,3,0,1,24 8 
20,1,1,4,16,1,30,0,11,8,42.814,3,0,1,24 8 
21,8,8,4,16,0,3,0,15,9,39.317,3,0,1,24 8 
22,1,4,1,4,1,22,0,9,4,85.971,3,0,1,24 8 
23,8,4,4,9,1,30,0,6,4,61.131,3,0,1,24 8 
24,1,4,6,13,0,26,0,5,7,48.136,3,0,1,24 8 
25,1,2,7,3,0,14,1,2,4,44.544,3,0,1,24 8 
26,2,1,4,20,0,41,1,6,5,36.287,3,0,1,24 8 
27,8,8,5,28,0,42,0,3,3,36.077,3,0,1,24 8 
28,1,2,3,16,1,31,0,6,8,48.912,3,0,1,24 8 
29,2,8,6,15,1,41,0,14,7,41.44,3,0,1,24 8 
30,8,2,5,13,0,17,0,14,2,51.855,3,0,1,24 8 
31,4,8,3,3,0,49,0,4,8,39.359,3,0,1,24 8 
32,1,1,6,27,1,16,1,6,7,40.183,3,0,1,24 8 
33,2,8,1,8,0,20,0,14,6,84.09,3,0,1,24 8 
34,2,1,4,16,1,42,1,11,8,46.7,3,0,1,24 8 
35,4,2,8,17,1,4,1,8,1,31.999,3,0,1,24 8 
36,1,4,6,13,0,41,0,2,4,40.493,3,0,1,24 8 
37,2,8,2,26,1,44,0,12,3,55.031,3,0,1,24 8 
38,1,4,4,12,1,15,1,10,1,40.361,3,0,1,24 8 
39,2,8,2,5,0,47,0,5,4,76.051,3,0,1,24 8 
40,1,2,1,29,0,19,0,8,6,86.1,3,0,1,24 8 
41,4,2,5,28,1,44,1,2,8,48.093,3,0,1,24 8 
42,4,8,2,18,1,9,1,3,5,63.943,3,0,1,24 8 
43,1,4,7,6,1,47,0,9,2,45.273,3,0,1,24 8 
44,2,4,5,11,1,22,1,12,7,35.052,3,0,1,24 8 
45,1,4,6,11,0,4,0,1,7,35.62,3,0,1,24 8 
46,4,2,5,29,0,34,0,8,7,31.683,3,0,1,24 8 
47,2,4,1,7,0,10,1,4,2,77.467,3,0,1,24 8 
48,1,4,1,20,1,16,0,4,7,94.291,3,0,1,24 8 
49,1,1,8,19,1,15,1,14,3,79.547,3,0,1,24 8 
50,8,2,1,27,1,36,1,11,7,70.541,3,0,1,24 8 
51,8,2,8,18,1,49,0,9,5,58.529,3,0,1,24 8 
52,8,2,8,22,0,41,1,9,5,44.998,3,0,1,24 8 
53,4,2,5,7,1,17,0,4,7,32.181,3,0,1,24 8 
54,2,2,3,18,1,11,1,12,9,36.685,3,0,1,24 8 
55,2,2,6,26,0,18,0,15,2,50.562,3,0,1,24 8 
56,4,4,8,10,1,15,1,4,3,30.972,3,0,1,24 8 
57,8,4,4,24,1,6,0,3,2,38.912,3,0,1,24 8 
58,2,4,2,11,1,4,0,2,4,72.94,3,0,1,24 8 
59,8,8,8,25,1,19,0,2,5,50.577,3,0,1,24 8 
60,4,1,2,12,1,30,0,9,8,62.311,3,0,1,24 8 
61,4,1,4,2,0,10,1,11,7,48.026,3,0,1,24 8 
62,4,2,7,16,0,22,0,12,2,43.692,3,0,1,24 8 
63,2,4,2,14,0,48,1,9,7,68.643,3,0,1,24 8 
64,2,8,6,29,0,33,0,6,2,47.379,3,0,1,24 8 
65,1,1,3,13,0,30,1,10,7,57.993,3,0,1,24 8 
66,8,8,4,16,0,15,1,1,1,63.663,3,0,1,24 8 
67,1,4,1,15,0,29,1,7,8,79.246,3,0,1,24 8 
68,1,4,2,9,0,45,1,3,9,74.965,3,0,1,24 8 
69,2,2,4,18,0,42,0,4,4,42.909,3,0,1,24 8 
70,8,8,7,14,0,35,1,12,7,40.004,3,0,1,24 8 
71,2,2,4,25,1,15,1,2,6,47.527,3,0,1,24 8 
72,2,2,7,14,0,41,1,12,5,39.353,3,0,1,24 8 
73,1,8,8,20,1,12,0,5,7,37.579,3,0,1,24 8 
74,8,4,7,15,0,21,1,2,3,35.78,3,0,1,24 8 
75,2,2,1,15,0,23,0,2,6,83.593,3,0,1,24 8 
76,2,2,1,17,0,11,1,13,9,93.499,3,0,1,24 8 
77,2,1,4,7,0,42,1,15,1,48.568,3,0,1,24 8 
78,8,1,1,18,0,5,0,3,8,52.425,3,0,1,24 8 
79,8,4,2,14,1,27,1,10,1,69.604,3,0,1,24 8 
80,1,1,6,10,0,17,1,4,7,50.605,3,0,1,24 8 
81,2,1,4,17,1,45,0,14,9,51.785,3,0,1,24 8 
82,1,4,6,20,0,37,0,2,5,46,3,0,1,24 8 
83,2,4,3,19,0,12,1,1,2,41.592,3,0,1,24 8 
84,1,2,6,22,1,19,0,7,2,41.872,3,0,1,24 8 
85,8,8,1,22,0,49,1,11,6,55.778,3,0,1,24 8 
86,4,2,1,18,1,7,1,11,1,78.446,3,0,1,24 8 
87,4,1,3,13,1,38,1,6,9,74.303,3,0,1,24 8 
88,1,8,3,26,1,35,1,12,6,52.284,3,0,1,24 8 
89,1,1,3,13,1,41,0,15,7,34.23,3,0,1,24 8 
90,4,1,1,18,0,25,0,13,5,71.757,3,0,1,24 8 
91,2,1,7,7,0,26,0,4,6,88.307,3,0,1,24 8 
92,1,2,6,18,1,36,0,10,5,64.994,3,0,1,24 8 
93,4,8,1,11,0,20,1,11,2,75.749,3,0,1,24 8 
