index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
1,8,8,6,2,0,33,0,7,6,27.803,10,0,1,88 2 
2,8,2,8,23,1,4,1,5,4,28.195,10,0,1,88 23 
3,1,4,4,9,1,30,0,11,5,30.299,10,0,1,88 9 
4,8,2,4,10,0,34,1,10,5,34.223,10,0,1,88 10 
5,1,1,7,25,1,42,1,7,6,29.108,10,0,1,88 25 
6,2,1,7,8,0,44,1,4,9,28.095,10,0,1,88 8 
7,1,4,3,9,1,14,1,1,9,31.844,10,0,1,88 9 
8,4,2,3,2,0,34,1,2,4,32.868,10,0,1,88 2 
9,8,2,1,5,1,10,0,15,7,61.211000000000006,10,0,1,88 5 
10,8,1,3,9,1,14,1,1,2,29.531999999999996,10,0,1,88 9 
11,4,1,2,4,1,38,1,2,5,58.486000000000004,10,0,1,88 4 
12,1,4,8,28,0,31,1,5,1,28.503,10,0,1,88 28 
13,2,2,6,11,0,12,1,7,1,28.364,10,0,1,88 11 
14,1,1,8,25,0,20,1,3,8,28.206,10,0,1,88 25 
15,8,2,6,5,0,21,1,3,5,29.735,10,0,1,88 5 
16,8,2,3,27,0,10,0,7,7,33.539,10,0,1,88 27 
17,1,2,6,14,1,16,1,2,8,29.498,10,0,1,88 14 
18,8,1,1,12,0,33,1,7,5,41.523999999999994,10,0,1,88 12 
19,8,8,6,19,0,17,1,5,4,28.015,10,0,1,88 19 
20,2,8,3,3,1,46,0,3,5,30.098000000000003,10,0,1,88 3 
21,4,1,3,25,0,32,0,15,2,30.622,10,0,1,88 25 
22,1,4,5,13,0,9,0,13,2,29.249000000000002,10,0,1,88 13 
23,4,8,3,13,0,11,1,13,9,30.444000000000003,10,0,1,88 13 
24,1,8,6,25,0,24,1,7,1,29.026999999999997,10,0,1,88 25 
25,2,2,4,19,0,14,1,13,2,28.826,10,0,1,88 19 
26,1,1,2,10,1,47,1,13,3,37.059,10,0,1,88 10 
27,1,4,2,9,1,24,1,6,2,37.21,10,0,1,88 9 
28,1,8,6,18,1,28,0,4,7,32.204,10,0,1,88 18 
29,1,4,7,20,0,33,1,3,8,28.002,10,0,1,88 20 
30,4,4,7,12,1,13,1,9,8,29.084,10,0,1,88 12 
31,2,1,1,16,0,25,1,14,7,83.678,10,0,1,88 16 
32,4,1,1,16,1,31,1,8,8,68.439,10,0,1,88 16 
33,4,4,4,20,1,45,0,10,4,31.362,10,0,1,88 20 
34,1,8,2,20,1,41,1,10,5,38.961,10,0,1,88 20 
35,8,1,4,3,0,49,1,10,2,32.813,10,0,1,88 3 
36,4,4,1,9,0,43,0,2,3,109.37799999999999,10,0,1,88 9 
37,8,4,5,5,0,12,0,8,8,33.321,10,0,1,88 5 
38,4,8,5,24,1,42,1,3,4,31.836,10,0,1,88 24 
39,8,4,3,15,1,27,0,13,2,31.174,10,0,1,88 15 
40,4,8,8,16,0,9,0,11,7,28.123,10,0,1,88 16 
41,1,2,8,12,1,14,0,1,5,27.29,10,0,1,88 12 
42,4,4,6,23,0,26,1,8,2,28.421999999999997,10,0,1,88 23 
43,8,2,1,20,1,20,1,7,1,55.345,10,0,1,88 20 
44,8,2,5,5,0,33,0,4,2,28.114,10,0,1,88 5 
