index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
1,1,4,4,18,0,22,1,8,1,392.60400000000004,10,0,1,88 8 
2,4,4,8,29,1,10,1,3,5,288.63599999999997,10,0,1,88 8 
3,1,4,2,8,0,5,0,12,3,325.231,10,0,1,88 8 
4,2,1,1,17,1,24,0,10,6,397.594,10,0,1,88 8 
5,8,4,5,21,1,6,0,12,7,315.245,10,0,1,88 8 
6,1,4,3,6,0,27,1,12,6,192.21599999999998,10,0,1,88 8 
7,1,4,4,11,1,26,0,14,9,270.85,10,0,1,88 8 
8,2,4,1,16,0,35,1,10,9,422.55,10,0,1,88 8 
9,8,1,3,14,1,42,1,14,4,321.748,10,0,1,88 8 
10,4,2,5,28,0,31,1,9,4,422.464,10,0,1,88 8 
11,4,8,6,2,1,32,1,1,8,396.097,10,0,1,88 8 
12,1,4,6,11,1,46,1,2,4,445.01300000000003,10,0,1,88 8 
13,8,4,1,21,0,43,1,7,4,416.399,10,0,1,88 8 
14,4,8,2,7,1,42,0,11,1,671.424,10,0,1,88 8 
15,1,2,5,2,0,4,0,5,1,431.905,10,0,1,88 8 
16,4,2,5,17,1,6,1,9,7,530.2080000000001,10,0,1,88 8 
17,1,2,8,9,0,49,1,11,4,482.381,10,0,1,88 8 
18,8,2,7,19,0,10,0,3,4,336.384,10,0,1,88 8 
19,4,1,3,20,0,47,1,1,1,371.00199999999995,10,0,1,88 8 
20,2,2,6,23,0,26,1,14,1,360.098,10,0,1,88 8 
21,1,8,1,11,0,37,0,6,1,466.069,10,0,1,88 8 
22,1,8,3,21,1,23,0,5,8,396.27,10,0,1,88 8 
23,8,8,1,9,0,30,1,3,3,354.681,10,0,1,88 8 
24,4,2,2,25,1,46,1,15,4,579.457,10,0,1,88 8 
25,8,8,8,7,1,39,1,13,5,673.16,10,0,1,88 8 
