index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
1,4,8,2,11,0,43,1,2,1,104.734,30,0,1,248 11 
2,2,8,7,24,1,16,1,5,3,61.163999999999994,30,0,1,248 24 
3,2,1,5,19,0,21,0,2,9,59.43600000000001,30,0,1,248 19 
4,1,4,2,12,0,24,0,2,1,106.869,30,0,1,248 12 
5,2,2,3,8,1,9,0,8,6,55.613,30,0,1,248 8 
6,8,2,6,22,0,13,0,7,8,55.933,30,0,1,248 22 
7,2,8,2,19,1,28,1,5,1,88.681,30,0,1,248 19 
8,2,8,7,27,1,8,1,11,7,54.831,30,0,1,248 27 
9,2,2,5,28,1,36,0,14,3,57.843999999999994,30,0,1,248 28 
10,8,4,8,22,1,48,0,3,3,54.715,30,0,1,248 22 
11,2,8,6,25,0,35,1,8,5,55.236000000000004,30,0,1,248 25 
12,4,2,8,9,1,10,1,5,1,53.511,30,0,1,248 9 
13,8,1,8,27,0,36,0,5,4,54.125,30,0,1,248 27 
14,1,4,1,15,1,34,0,11,4,289.986,30,0,1,248 15 
15,2,1,3,23,1,46,1,3,5,123.604,30,0,1,248 23 
16,8,1,6,13,0,26,0,9,8,83.806,30,0,1,248 13 
17,8,8,4,6,0,49,0,9,7,123.14399999999999,30,0,1,248 6 
18,8,1,6,23,1,26,1,3,8,158.264,30,0,1,248 23 
19,2,2,8,18,1,4,1,12,9,79.31,30,0,1,248 18 
20,2,4,6,19,1,3,0,15,1,90.3,30,0,1,248 19 
21,4,4,6,21,0,49,1,6,7,59.236999999999995,30,0,1,248 21 
22,1,8,3,5,0,19,1,9,7,61.756,30,0,1,248 5 
23,1,8,2,27,1,25,0,12,7,79.154,30,0,1,248 27 
24,8,8,6,27,1,21,0,15,9,63.38,30,0,1,248 27 
25,4,2,7,20,0,26,1,1,7,61.253,30,0,1,248 20 
26,8,2,3,14,1,38,1,9,5,153.671,30,0,1,248 14 
27,8,4,2,24,0,24,1,9,6,361.439,30,0,1,248 24 
28,2,1,7,4,1,38,1,3,4,387.976,30,0,1,248 4 
29,2,8,4,16,1,12,1,3,9,334.85400000000004,30,0,1,248 16 
30,8,4,7,29,1,42,1,8,3,197.408,30,0,1,248 29 
31,1,4,3,13,1,30,0,2,3,147.231,30,0,1,248 13 
32,8,1,4,21,1,16,1,10,4,195.987,30,0,1,248 21 
33,1,8,5,22,0,23,1,1,7,160.001,30,0,1,248 22 
34,8,2,1,14,0,16,1,14,2,217.24400000000003,30,0,1,248 14 
35,2,2,8,13,1,17,0,9,2,232.812,30,0,1,248 13 
36,4,1,1,23,1,36,1,14,7,520.519,30,0,1,248 23 
37,4,4,3,10,0,43,1,1,1,334.851,30,0,1,248 10 
38,4,2,5,6,0,4,0,1,1,300.644,30,0,1,248 6 
39,1,8,4,25,0,45,1,8,9,183.072,30,0,1,248 25 
40,2,8,3,23,1,7,0,5,3,169.321,30,0,1,248 23 
41,1,1,8,16,0,28,1,3,2,89.76799999999999,30,0,1,248 16 
42,2,8,8,17,1,33,1,7,7,60.11600000000001,30,0,1,248 17 
43,2,8,7,2,1,5,1,13,5,53.675,30,0,1,248 2 
44,1,1,3,12,0,26,1,14,3,77.624,30,0,1,248 12 
45,4,2,2,12,0,39,0,3,6,197.604,30,0,1,248 12 
46,8,1,1,24,0,47,0,9,1,209.87099999999998,30,0,1,248 24 
47,4,8,1,11,0,40,0,6,2,493.244,30,0,1,248 11 
48,8,8,3,20,0,48,0,9,7,384.75,30,0,1,248 20 
49,1,4,3,3,0,18,1,6,4,224.676,30,0,1,248 3 
50,4,2,6,11,0,27,1,1,2,158.736,30,0,1,248 11 
51,8,1,6,24,0,38,1,6,8,111.05799999999999,30,0,1,248 24 
52,2,2,4,29,1,35,0,2,9,119.113,30,0,1,248 29 
53,8,4,7,14,1,11,0,8,6,55.427,30,0,1,248 14 
54,4,4,2,17,1,31,0,1,9,142.079,30,0,1,248 17 
55,8,2,3,7,1,6,0,6,7,119.031,30,0,1,248 7 
56,2,2,3,23,0,39,0,4,4,95.999,30,0,1,248 23 
57,1,2,5,15,0,46,0,9,2,61.036,30,0,1,248 15 
58,1,1,3,11,0,45,0,5,3,58.269,30,0,1,248 11 
59,8,4,2,2,1,39,1,2,5,169.271,30,0,1,248 2 
60,4,2,5,20,0,6,1,1,8,206.705,30,0,1,248 20 
61,1,1,6,13,1,43,0,3,5,121.184,30,0,1,248 13 
62,4,2,6,20,0,19,0,2,6,97.978,30,0,1,248 20 
63,2,2,8,28,0,15,0,15,5,71.797,30,0,1,248 28 
64,4,1,2,7,0,6,0,9,1,221.169,30,0,1,248 7 
65,8,2,1,4,0,11,1,1,3,231.11599999999999,30,0,1,248 4 
66,8,8,8,14,1,8,0,14,2,181.05900000000003,30,0,1,248 14 
67,1,8,4,2,1,9,0,14,1,146.893,30,0,1,248 2 
68,2,8,3,11,1,20,0,3,7,100.792,30,0,1,248 11 
69,4,2,5,18,0,20,1,5,2,59.326,30,0,1,248 18 
70,8,1,8,24,0,46,1,2,5,81.335,30,0,1,248 24 
71,4,2,4,26,0,7,0,13,2,58.85,30,0,1,248 26 
72,1,2,3,29,0,49,0,15,5,57.578,30,0,1,248 29 
73,1,4,3,25,0,11,1,12,9,60.262,30,0,1,248 25 
74,2,8,6,11,0,8,0,15,7,55.166000000000004,30,0,1,248 11 
75,8,8,7,29,0,9,0,2,1,56.516000000000005,30,0,1,248 29 
76,2,4,7,11,0,28,0,14,1,53.935,30,0,1,248 11 
77,4,8,3,22,0,12,1,6,7,59.355,30,0,1,248 22 
78,8,1,4,12,0,20,1,2,6,122.74600000000001,30,0,1,248 12 
79,1,2,3,24,1,16,1,10,7,143.05700000000002,30,0,1,248 24 
80,2,4,3,12,1,11,0,4,3,117.43700000000001,30,0,1,248 12 
